date,REV_GG_TAX_TOTAL_M,REV_CG_TOTAL_M,EXP_CG_TOTAL_M,EXP_GG_TOTAL_Q,REV_GG_TOTAL_Q
2013-07-01,47515295395.1789,24019535944.3323,24714975020.3131,,
2013-08-01,47623815878.1655,23585274041.6054,24297655228.7814,,
2013-09-01,48484821702.1756,24380825346.8664,24461192505.967,108480775598.458,108789911498.637
2013-10-01,48270421473.1268,25171878607.4519,34121257737.5403,,
2013-11-01,47687505588.9424,25198330770.3799,27636980769.8791,,
2013-12-01,47664952110.8776,23221395280.3345,22785598070.7619,107904136058.934,109048813997.794
2014-01-01,48255766637.9556,23796245785.4826,24182184776.8038,,
2014-02-01,47534173923.7485,22951398246.1602,24268459969.9748,,
2014-03-01,49399983587.2958,24751642383.1104,24082857988.6815,109100160842.784,110683611329.679
2014-04-01,48220259992.8953,23537779873.3562,23623030318.7243,,
2014-05-01,44577922543.789,21206318389.09,28885733807.0137,,
2014-06-01,50734649758.2126,25086457167.6004,25175000427.1441,109823862681.927,111601393498.386
2014-07-01,49049762043.1342,24953507732.6793,24727556293.3659,,
2014-08-01,49393489415.9444,25432990717.1344,24099932259.5111,,
2014-09-01,50391766634.4243,26339420446.4383,24850809155.7875,111396006850.72,112741368579.206
2014-10-01,50262328219.9939,24609768510.0518,24651146675.9976,,
2014-11-01,51493804825.2878,27007786298.5029,23446790020.3981,,
2014-12-01,51526412914.9755,25113536680.7101,23408597490.1058,112248021380.908,114890036382.739
2015-01-01,50759464073.9358,25344641799.7308,24465446935.6053,,
2015-02-01,50546695169.8116,22992081729.8101,24705810661.8098,,
2015-03-01,50824025552.4664,26942042868.2616,25308818905.2894,113111608854.125,115066540901.713
2015-04-01,50744884803.6875,24079766927.2857,24260745686.0221,,
2015-05-01,51051023569.4053,26840416111.3877,23273620802.0028,,
2015-06-01,51501229139.7067,27947886630.227,25411347504.0265,113914543459.781,116118909643.614
2015-07-01,53305998777.5208,27205501134.6535,24683433601.8461,,
2015-08-01,52839273819.4142,26117669581.7944,24133539257.6933,,
2015-09-01,51972857601.7301,26663069797.9837,29136030726.4937,114265534962.494,117723730552.818
2015-10-01,51602202587.788,26416468076.0611,24572130174.523,,
2015-11-01,52490659422.4321,23204756626.4813,24286037369.2942,,
2015-12-01,52577557847.0463,26160092939.0244,24543961728.0267,116184895254.123,118247803552.87
2016-01-01,53177416548.9032,28685920998.0984,25492267321.608,,
2016-02-01,52706911567.3875,25843941462.7875,25457546402.1759,,
2016-03-01,53776273125.1545,27472876734.7627,26057079192.4779,117586451104.051,119952583247.299
2016-04-01,53925652005.4524,27796823173.2825,24641292325.1833,,
2016-05-01,54529695300.0508,27072534402.8875,25096706937.2425,,
2016-06-01,53845056727.3045,25802365231.2879,24380959606.6217,118184050923.979,121346194634.271
2016-07-01,52494585870.1421,26104946533.4119,25732303686.2005,,
2016-08-01,53308935419.1775,26284170081.6875,24983152229.5637,,
2016-09-01,54447179890.5979,27057487361.662,26816397518.6788,121443191111.538,122472898092.645
2016-10-01,55763865386.6894,26085567958.5076,24824091832.9224,,
2016-11-01,54196992101.1611,27034537473.0127,27061059227.2588,,
2016-12-01,55560970160.3647,24179198414.7338,29084465504.856,118815291021.051,124566501148.059
2017-01-01,55939893708.3163,33158171349.8081,26295796017.6651,,
2017-02-01,56425204328.7822,29600579914.9964,26062974050.3001,,
2017-03-01,57429536976.9294,27058006095.725,25961744180.7354,122263472701.135,125992923529.492
2017-04-01,56958295587.7004,27604475156.7296,26861910742.18,,
2017-05-01,55835405485.3825,26663700646.1124,27496958691.7926,,
2017-06-01,49955224473.6003,21221078714.8255,25937871752.247,124583938733.148,126475180540.861
2017-07-01,57607633229.9017,28317985595.753,27841350352.3584,,
2017-08-01,56999176865.6091,27364214837.0962,28384325694.4576,,
2017-09-01,56765056775.4492,27710948642.7364,27399696651.5042,123459111362.54,127800476109.957
2017-10-01,56016021563.298,28518676573.4849,27578581855.9754,,
2017-11-01,57878550369.5996,26641218213.2702,27983449881.6103,,
2017-12-01,57999484176.9307,28797830988.5807,26666882319.7845,124162102457.022,129272031748.795
2018-01-01,57809339480.771,30049267188.3904,26632469265.9741,,
2018-02-01,60281271885.3709,30773515343.0798,27482030283.5949,,
2018-03-01,58596619550.282,27997472044.5908,26388106316.1151,125160215106.663,131048263097.987
2018-04-01,59563692608.5303,28667551015.7631,27539773817.4359,,
2018-05-01,59782781485.7452,29810776900.407,28024873581.694,,
2018-06-01,58699576708.6285,29168929314.9914,23821871046.4531,125938566919.518,133968776369.454
2018-07-01,59809755442.5978,27773385707.2308,29347331454.8826,,
