date,REV_GG_TAX_TOTAL,REV_CG_TOTAL,EXP_CG_TOTAL,EXP_GG_SA_TOTAL,REV_GG_SA_TOTAL,IFO_BIZCLIMATE,GDP_DEFLATOR,GDP_REAL,HICP_TOTAL,IP_TOTAL,RETAIL_TURNOVER,AUTO_SALES,BUND_YIELD_10Y
1969-09-01,,4204852137.0,3576650610.0,,,,,,,,,149581.0,7.19
1969-10-01,,3428915193.0,3420166073.0,,,,,,,,,181048.0,7.39
1969-11-01,,3620074257.0,3576446401.0,,,,,,,,,140874.0,7.39
1969-12-01,,5361890667.0,6485784263.0,,,,,,,,,130421.0,7.59
1970-01-01,,3249412227.0,3874470968.0,,,,,,,,,122461.0,7.59
1970-02-01,,2949243613.0,3034065458.0,,,,,,,,,153257.0,7.79
1970-03-01,,4014659182.0,3043960250.0,,,,,,,,,214968.0,8.09
1970-04-01,,3022269229.0,3021997421.0,,,,,,,,,240758.0,8.09
1970-05-01,,3110208137.0,3258609239.0,,,,,,,,,193993.0,8.39
1970-06-01,,4429658403.0,3864870529.0,,,,,,,,,213907.0,8.69
1970-07-01,,3397355054.0,4131760969.0,,,,,,,,,207784.0,8.69
1970-08-01,,3488897271.0,3561246318.0,,,,,,,,,103145.0,8.39
1970-09-01,,4451909914.0,3533308236.0,,,,,,,,,158306.0,8.49
1970-10-01,,3433547501.0,3932133057.0,,,,,,,,,179893.0,8.69
1970-11-01,,3643460516.0,4639737608.0,,,,,,,,,164836.0,8.59
1970-12-01,,6006570987.0,5088555272.0,,,,,,,,,153815.0,8.19
1971-01-01,,3580005971.0,4541088744.0,,,,,,,,,128210.0,7.69
1971-02-01,,3373858524.0,3413650317.0,,,,,,,,,166119.0,7.69
1971-03-01,,4529865479.0,3817000026.0,,,,,,,,,262116.0,7.89
1971-04-01,,3703951951.0,3520151360.0,,,,,,,,,236866.0,7.89
1971-05-01,,3341955768.0,3609752940.0,,,,,,,,,220447.0,7.99
1971-06-01,,4606768404.0,4216681027.0,,,,,,,,,218511.0,8.19
1971-07-01,,3726700100.0,4444095712.0,,,,,,,,,209283.0,8.29
1971-08-01,,3801134420.0,4029644350.0,,,,,,,,,118674.0,8.29
1971-09-01,,4805720456.0,3937058877.0,,,,,,,,,167763.0,8.09
1971-10-01,,3862837143.0,4030806500.0,,,,,,,,,179518.0,7.99
1971-11-01,,3964424911.0,4835868855.0,,,,,,,,,144075.0,7.89
1971-12-01,,6501092930.0,5952382564.0,,,,,,,,,99975.0,7.89
1972-01-01,,4260152824.0,5238731700.0,,,,,,,,,139340.0,7.59
1972-02-01,,3668556364.0,3980550177.0,,,,,,,,,160389.0,7.29
1972-03-01,,4608080550.0,4099404419.0,,,,,,,,,266675.0,7.39
1972-04-01,,3936069690.0,3930032337.0,,,,,,,,,200957.0,7.69
1972-05-01,,3580547940.0,4157762906.0,,,,,,,,,232935.0,7.79
1972-06-01,,4815964200.0,4500374910.0,,,,,,,,,224050.0,7.89
1972-07-01,,3982888503.0,4479102735.0,,,,,,,,,170944.0,7.99
1972-08-01,,4216934983.999996,4555909415.0,,,,,,,,,134344.0,7.89
1972-09-01,,5216237043.000004,4314357842.0,,,,,,,,,150613.0,8.08
1972-10-01,,4293554551.0,4783999426.0,,,,,,,,,183555.0,8.36
1972-11-01,,4357598078.0,6267171969.0,,,,,,,,,154319.0,8.55
1972-12-01,,7433290939.0,6490191860.0,,,,,,,,,124842.0,8.73
1973-01-01,,4538248442.0,5940537958.0,,,,,,,,,167419.0,8.84
1973-02-01,,4307684365.0,4347391333.0,,,,,,,,,192617.0,8.62
1973-03-01,,5327090500.0,4337248173.0,,,,,,,,,253566.0,8.74
1973-04-01,,4110092073.0,4188434163.0,,,,,,,,,234100.0,8.82
1973-05-01,,4033657913.0,4524111132.0,,,,,,,,,215575.0,9.62
1973-06-01,,5887115856.0,4921836781.0,,,,,,,,,198757.0,9.85
1973-07-01,,4560074673.0,5284033513.999996,,,,,,,,,166218.0,9.87
1973-08-01,,4474356984.0,4614600294.000004,,,,,,,,,115441.0,9.42
1973-09-01,,5744982334.0,4756318802.0,,,,,,,,,137405.0,9.58
1973-10-01,,4675583281.0,5668054026.0,,,,,,,,,157488.0,9.41
1973-11-01,,4874459682.0,6419014241.0,,,,,,,,,122277.0,9.67
1973-12-01,,8400632767.0,7660996873.0,,,,,,,,,70138.0,9.83
1974-01-01,,4540474311.0,6749993318.0,,,,,,,,,105379.0,9.65
1974-02-01,,4481735594.0,4384773824.0,,,,,,,,,123652.0,10.52
1974-03-01,,5380233720.0,4986960376.0,,,,,,,,,180953.0,10.52
1974-04-01,,4179091065.0,5162123186.0,,,,,,,,,191383.0,10.46
1974-05-01,,4341186368.0,5065323476.0,,,,,,,,,190324.0,10.78
1974-06-01,,6019358344.0,5231975576.0,,,,,,,,,147152.0,11.22
1974-07-01,,4617308518.0,5492336447.0,,,,,,,,,153784.0,11.3
1974-08-01,,4871716729.0,5547935890.0,,,,,,,,,106191.0,11.17
1974-09-01,,6123407917.0,5684886660.0,,,,,,,,,133479.0,11.17
1974-10-01,,4883807157.0,6453377437.0,,,,,,,,,145843.0,10.97
1974-11-01,,5000817436.0,7191662511.0,,,,,,,,,118056.0,10.48
1974-12-01,,8742088831.0,6579741671.000008,,,,,,,,,96814.0,10.04
1975-01-01,,4673990492.0,8213715699.0,,,,,,,,,129327.0,9.49
1975-02-01,,4337108779.0,5486170459.0,,,,,,,,,152826.0,9.46
1975-03-01,,5158785748.0,6227438543.0,,,,,,,,,207110.0,9.57
1975-04-01,,3998436980.0,6434634448.0,,,,,,,,,238467.0,9.06
1975-05-01,,4201297371.0,5766600147.0,,,,,,,,,202768.0,8.77
1975-06-01,,5504072373.0,6903550622.0,,,,,,,,,199172.0,8.74
1975-07-01,,5097690746.000004,6959078876.0,,,,,,,,,175592.0,8.71
1975-08-01,,5123810208.999996,6192340782.0,,,,,,,,,119604.0,8.71
1975-09-01,,6167462724.0,6337385728.0,,,,,,,,,186151.0,8.85
1975-10-01,,4893310445.0,6682360445.0,,,,,,,,,205828.0,9.09
1975-11-01,,4963394624.0,7750032361.0,,,,,,,,,154674.0,8.6
1975-12-01,,9172564087.0,7265319803.0,,,,,,,,,134529.0,8.53
1976-01-01,,5134272420.0,8710377931.0,,,,,,,,,160319.0,8.54
1976-02-01,,4903575954.0,6403690675.0,,,,,,,,,194710.0,8.34
